oracle,iters,attributes,domain,measurements,records,temperature,epsilon,seed,learning_rate,skiperror,time,error_in,error_out,baseline_in,dist_noisy
exact,10000,8,4,2,10000,3.0,1.0,2457026461,,False,63.863109827041626,0.0043155907584432,0.5764067564326393,0.0061213998822225,0.0030293360969063
exact,10000,8,4,3,10000,3.0,1.0,2457026461,,False,69.99644136428833,0.0054467944729359,0.4256035607953959,0.0091778404759066,0.006048183596253
exact,10000,8,4,1,10000,3.0,1.0,2457026461,,False,77.20370697975159,0.0023029877185005,0.7001228514547316,0.0027925647952593,0.0009870920929533
exact,10000,8,4,2,10000,3.0,1.0,2643031147,,False,75.73105072975159,0.0025719110021047,0.5165383845291436,0.0065131595605591,0.0052984662893394
exact,10000,8,4,1,10000,3.0,1.0,2643031147,,False,77.51079440116882,0.0012708709420391,0.7787057767154147,0.0028303877760451,0.0022999972820757
exact,10000,8,4,4,10000,3.0,1.0,2457026461,,False,89.98937606811523,0.0073852180399943,0.3880816433853342,0.0126007365188073,0.009233812198179
exact,10000,8,4,3,10000,3.0,1.0,2643031147,,False,83.18969321250916,0.0030763906995946,0.5262791055888131,0.0099789774742782,0.0090555411803681
exact,10000,8,4,5,10000,3.0,1.0,2457026461,,False,94.79403376579285,0.0088436048462385,0.2662837852229226,0.0162893707956375,0.0130389608423745
exact,10000,8,4,4,10000,3.0,1.0,2643031147,,False,91.2915904521942,0.0035135520081274,0.3426334591140497,0.0135913657722489,0.01264000099298
exact,10000,8,4,8,10000,3.0,1.0,2457026461,,False,110.1909408569336,0.0132920963070142,0.0683295329388206,0.0252339977408421,0.0207420570229735
exact,10000,8,4,5,10000,3.0,1.0,2643031147,,False,101.0548050403595,0.0038246848301532,0.3491114053810358,0.0164302896008402,0.015825351326326
exact,10000,8,4,7,10000,3.0,1.0,2643031147,,False,102.19492173194884,0.0036269884910058,0.0913866129783746,0.0227112575903064,0.0231187085844183
exact,10000,8,4,7,10000,3.0,1.0,2457026461,,False,112.0134162902832,0.012202656175498,0.0991811213860306,0.0224685511031667,0.0181525574777683
exact,10000,8,4,6,10000,3.0,1.0,2643031147,,False,105.17175960540771,0.0039273847948624,0.0896034223290414,0.0200259566649161,0.0201169832564113
exact,10000,8,4,6,10000,3.0,1.0,2457026461,,False,116.31178045272829,0.0105910275768484,0.271366463332089,0.0196403480609875,0.0160105191282906
exact,10000,8,4,9,10000,3.0,1.0,2457026461,,False,116.3737895488739,0.0144566854293752,0.0706005931161372,0.0285272784802792,0.0243923937569019
exact,10000,8,4,10,10000,3.0,1.0,2457026461,,False,125.6297161579132,0.0164421774345954,0.0727751592161789,0.0319379824178194,0.0271125677921109
exact,10000,8,4,11,10000,3.0,1.0,2457026461,,False,129.83101630210876,0.0174276570968871,0.0747241321980783,0.0349973797236213,0.0300674588124467
exact,10000,8,4,12,10000,3.0,1.0,2457026461,,False,136.15670609474182,0.0181656549367991,0.0751381040637657,0.0385970492491098,0.0337793991097926
exact,10000,8,4,8,10000,3.0,1.0,2643031147,,False,107.9675178527832,0.0042676583716631,0.0054567805028312,0.0260226221248566,0.0266839224429243
exact,10000,8,4,14,10000,3.0,1.0,2457026461,,False,146.11441779136658,0.0201089145393151,0.0712671447835312,0.0441468799988772,0.038877103450753
exact,10000,8,4,13,10000,3.0,1.0,2457026461,,False,147.9400715827942,0.0192397396547709,0.0780372590812433,0.0415302977224657,0.0365514039682935
exact,10000,8,4,15,10000,3.0,1.0,2457026461,,False,154.53437852859497,0.0212037941453871,0.071987477377966,0.0475562150044215,0.0418475442127754
exact,10000,8,4,9,10000,3.0,1.0,2643031147,,False,119.08299541473389,0.0047431131159154,0.0063286087715547,0.0293339246232195,0.0297733522664687
exact,10000,8,4,10,10000,3.0,1.0,2643031147,,False,122.6332356929779,0.0050289594551694,0.006250402433315,0.032174492320982,0.0326651595009456
exact,10000,8,4,11,10000,3.0,1.0,2643031147,,False,129.90548753738403,0.0052147764636771,0.0066009661641316,0.0354268415329535,0.0360471958228542
exact,10000,8,4,12,10000,3.0,1.0,2643031147,,False,136.30716800689697,0.0058377138880769,0.007241556355977,0.0381059721508223,0.0382755167703747
exact,10000,8,4,13,10000,3.0,1.0,2643031147,,False,143.54063749313354,0.0063860351490381,0.0075035431076678,0.0409399965986301,0.0412467508331001
exact,10000,8,4,14,10000,3.0,1.0,2643031147,,False,156.81676363945007,0.0063124013123189,0.0069707094662119,0.0441323764899663,0.0452708863769015
exact,10000,8,4,15,10000,3.0,1.0,2643031147,,False,172.05825352668762,0.0064810187202592,0.007325991163868,0.0479799278614198,0.0487304053433741
exact,10000,8,4,25,10000,3.0,1.0,2457026461,,False,266.4084711074829,0.0260774198623148,0.0386564208346626,0.0795015820408677,0.0748473805138241
exact,10000,8,4,20,10000,3.0,1.0,2643031147,,False,245.7131969928741,0.0074438114895707,0.0091593662862245,0.0658392757258765,0.0662638254696832
exact,10000,8,4,30,10000,3.0,1.0,2457026461,,False,352.1623783111572,0.031235952288228,0.0442085695354216,0.095420610156183,0.089529994213879
exact,10000,8,4,2,10000,3.0,1.0,2094276510,,False,75.23743009567261,0.0051214856045897,0.5494582788637646,0.0076827472206116,0.0040821686341183
exact,10000,8,4,35,10000,3.0,1.0,2457026461,,False,395.2270693778992,0.0332814030293697,0.0453778574065708,0.1111109221485925,0.105145603599721
exact,10000,8,4,1,10000,3.0,1.0,2094276510,,False,78.45750427246094,0.0027050427464862,0.6730020181675226,0.0035549553310861,0.0015476979525704
exact,10000,8,4,3,10000,3.0,1.0,2094276510,,False,83.83129906654358,0.0065181349677903,0.4085515302474974,0.0117614280396591,0.0074115106382853
exact,10000,8,4,4,10000,3.0,1.0,2094276510,,False,86.47127842903137,0.0088322156495977,0.2228493035706958,0.0153906311633028,0.0103986711460622
exact,10000,8,4,5,10000,3.0,1.0,2094276510,,False,99.56622004508972,0.009889201059012,0.2214450705377682,0.0186232095576832,0.0137466703154624
exact,10000,8,4,6,10000,3.0,1.0,2094276510,,False,105.25957012176514,0.0109263126927576,0.2261517008325988,0.0223325003505972,0.0174740090252409
exact,10000,8,4,7,10000,3.0,1.0,2094276510,,False,112.20314812660216,0.0118277820760958,0.2300488248401451,0.0256865217113424,0.0211521985926674
exact,10000,8,4,8,10000,3.0,1.0,2094276510,,False,120.28874111175536,0.0131861418105544,0.1033677807028219,0.0288705005970916,0.0236908974506989
exact,10000,8,4,10,10000,3.0,1.0,2094276510,,False,117.23486185073853,0.0158497792749916,0.1080523217260194,0.0366246562527205,0.0310190030508343
exact,10000,8,4,9,10000,3.0,1.0,2094276510,,False,125.80909943580627,0.0143420231305331,0.1051574635216986,0.0328161055131986,0.0278113746372721
exact,10000,8,4,11,10000,3.0,1.0,2094276510,,False,124.99833464622498,0.0171400799026482,0.1110903571844987,0.0398009484890874,0.0336572199910309
exact,10000,8,4,12,10000,3.0,1.0,2094276510,,False,132.32960677146912,0.0175553471191756,0.1129252803707308,0.0421603482027216,0.0366332829995184
exact,10000,8,4,13,10000,3.0,1.0,2094276510,,False,139.35057616233826,0.0187127339812335,0.11735249608498,0.0455142763971892,0.0397822665627107
exact,10000,8,4,25,10000,3.0,1.0,2643031147,,False,518.4955298900604,0.0089260145176217,0.0104530499287131,0.0823876613195658,0.082731407117004
exact,10000,8,4,14,10000,3.0,1.0,2094276510,,False,180.4136159420013,0.0190702443571793,0.0860316807136783,0.0495056563069358,0.043161150059055
exact,10000,8,4,15,10000,3.0,1.0,2094276510,,False,186.1107623577118,0.0204292214315559,0.0890099914364729,0.0527866295490895,0.0461849214086811
exact,10000,8,4,30,10000,3.0,1.0,2643031147,,False,608.049816608429,0.01014399512563,0.0114015320284038,0.0984005873004332,0.0988959694034932
exact,10000,8,4,20,10000,3.0,1.0,2094276510,,False,260.4171016216278,0.0235402324575471,0.1004584376332904,0.0709191997104676,0.066626889072597
exact,10000,8,4,40,10000,3.0,1.0,2457026461,,False,775.7564308643341,0.0346267831178514,0.0353419781191148,0.1269115614179768,0.1218333575892692
exact,10000,8,4,35,10000,3.0,1.0,2643031147,,False,676.3359792232513,0.0108146032664301,0.0111406418986527,0.113224729496267,0.1141391320380231
exact,10000,8,4,45,10000,3.0,1.0,2457026461,,False,849.888669013977,0.0372888574188885,0.0382142416226294,0.1437019126240726,0.1376576613555585
exact,10000,8,4,40,10000,3.0,1.0,2643031147,,False,783.3237648010254,0.0108038128990631,0.0107500817490418,0.1293214501491436,0.1309065062302501
exact,10000,8,4,50,10000,3.0,1.0,2457026461,,False,931.202219247818,0.0392251382106614,0.03899578956607,0.1598551703710365,0.1524438455075317
exact,10000,8,4,25,10000,3.0,1.0,2094276510,,False,434.1143071651459,0.0258868867063318,0.0304722179182496,0.0875167586990915,0.0838337154375941
exact,10000,8,4,45,10000,3.0,1.0,2643031147,,False,840.950216293335,0.0114510489801477,0.011248391791527,0.1443038294057421,0.1468542175259261
exact,10000,8,4,55,10000,3.0,1.0,2457026461,,False,1007.3138155937196,0.0393780947833542,0.026786037620592,0.1745744695889902,0.1672722226891201
exact,10000,8,4,1,10000,3.0,1.0,2378741324,,False,78.66393280029297,0.002081478947692,0.8146884909511223,0.0027754214009067,0.001374138940065
exact,10000,8,4,2,10000,3.0,1.0,2378741324,,False,75.72518110275269,0.0030089114770542,0.6070194277285691,0.0055608003190377,0.0040396527634323
exact,10000,8,4,30,10000,3.0,1.0,2094276510,,False,514.6044926643372,0.0260590132475218,0.0330011917624969,0.1037717823820102,0.1012101742224431
exact,10000,8,4,3,10000,3.0,1.0,2378741324,,False,96.61168146133424,0.0042956330590813,0.4615607008591252,0.0086482188175281,0.0065274328971713
exact,10000,8,4,50,10000,3.0,1.0,2643031147,,False,944.885290145874,0.0113265629896885,0.0120406013599447,0.1606089715284576,0.1638451929030653
exact,10000,8,4,4,10000,3.0,1.0,2378741324,,False,101.01686906814577,0.0062120012876502,0.3152827654331131,0.0117656903451463,0.0088412960642681
exact,10000,8,4,5,10000,3.0,1.0,2378741324,,False,90.3794882297516,0.0080912146821189,0.3222634063231827,0.0153541486089967,0.0119902925769386
exact,10000,8,4,55,10000,3.0,1.0,2643031147,,False,991.368486881256,0.0125189040344714,0.0204209671099375,0.1769243661236564,0.1820911479478145
exact,10000,8,4,6,10000,3.0,1.0,2378741324,,False,100.31646656990053,0.0099302153899712,0.3292765119521409,0.0189419432461433,0.014940096141293
exact,10000,8,4,7,10000,3.0,1.0,2378741324,,False,107.62662506103516,0.0102607724528358,0.3359885931873025,0.0220901364946935,0.0187572985011774
exact,10000,8,4,35,10000,3.0,1.0,2094276510,,False,608.021386384964,0.0295652850932375,0.033374793897814,0.1198175112846891,0.1163172406255277
exact,10000,8,4,9,10000,3.0,1.0,2378741324,,False,120.03448414802553,0.0124401507276116,0.0359836021477331,0.0280826819887476,0.0240217121703357
exact,10000,8,4,10,10000,3.0,1.0,2378741324,,False,126.250750541687,0.0138442778581567,0.0155752331685264,0.0311779732263291,0.0264152520850139
exact,10000,8,4,11,10000,3.0,1.0,2378741324,,False,131.58558750152588,0.0144336629574875,0.0161122664681273,0.0339061491155746,0.0290734412371302
exact,10000,8,4,12,10000,3.0,1.0,2378741324,,False,141.37033653259277,0.0149655715302591,0.0171761081414032,0.036885190044146,0.0323216858097681
exact,10000,8,4,13,10000,3.0,1.0,2378741324,,False,144.63864278793335,0.0158292188700184,0.0178966667469352,0.0403336231919288,0.0361769413561237
exact,10000,8,4,40,10000,3.0,1.0,2094276510,,False,712.2653090953827,0.0303134648272612,0.0326904971137495,0.1351476051691355,0.1319052861360987
exact,10000,8,4,14,10000,3.0,1.0,2378741324,,False,163.00480461120603,0.0170756712477779,0.0185794671942136,0.043516726078268,0.0385765793100486
exact,10000,8,4,15,10000,3.0,1.0,2378741324,,False,168.69273805618286,0.0181597052219842,0.0195783441333213,0.0473187993388459,0.0422636395796518
exact,10000,8,4,20,10000,3.0,1.0,2378741324,,False,235.25217461586,0.0202753914480332,0.022008676131163,0.0630949442094382,0.0592324308570814
exact,10000,8,4,45,10000,3.0,1.0,2094276510,,False,798.6221160888672,0.0317173662691759,0.033408164688608,0.1507558580640748,0.1482013379630409
exact,10000,8,4,25,10000,3.0,1.0,2378741324,,False,298.50406765937805,0.0220873920469168,0.023875444730101,0.0782432545600985,0.0747635284601319
exact,10000,8,4,50,10000,3.0,1.0,2094276510,,False,913.1784641742706,0.0320542489625708,0.0344461404521298,0.166905595139332,0.165345618851838
exact,10000,8,4,55,10000,3.0,1.0,2094276510,,False,993.2997879981996,0.0328161583123199,0.03333708645798,0.1812080253139854,0.1801890374040296
exact,10000,8,4,1,10000,3.0,1.0,1961979125,,False,73.11712980270386,0.0018649941381549,0.8398950113836424,0.0038877682726783,0.002867791349674
exact,10000,8,4,2,10000,3.0,1.0,1961979125,,False,72.66779971122742,0.0038815504829431,0.693998325528235,0.0065075724147981,0.004060317014059
exact,10000,8,4,3,10000,3.0,1.0,1961979125,,False,81.28753089904785,0.0051383561719297,0.5354865622218996,0.0096183021721131,0.0070435759220782
exact,10000,8,4,30,10000,3.0,1.0,2378741324,,False,573.4973859786987,0.0228671732400215,0.0242343040997029,0.0938926696818391,0.0895236449297879
exact,10000,8,4,4,10000,3.0,1.0,1961979125,,False,88.83723878860474,0.0058855847164327,0.5456710085245512,0.0122743364507593,0.0097944791042164
exact,10000,8,4,5,10000,3.0,1.0,1961979125,,False,95.99923014640808,0.0069613904071258,0.5567964939721313,0.0151249454833446,0.0121064995021999
exact,10000,8,4,35,10000,3.0,1.0,2378741324,,False,596.3096718788147,0.0248468729632605,0.0257894068157856,0.1092884244051608,0.1055937931076881
exact,10000,8,4,6,10000,3.0,1.0,1961979125,,False,89.50818085670471,0.0079542584583222,0.0202580395975415,0.0185930564592897,0.015204682969863
exact,10000,8,4,7,10000,3.0,1.0,1961979125,,False,101.9457573890686,0.00910489246392,0.0214480201657026,0.0213708477575506,0.0175573749637158
exact,10000,8,4,8,10000,3.0,1.0,1961979125,,False,109.9856789112091,0.0095795102555316,0.0220705397337135,0.0242619297361997,0.0203653713969125
exact,10000,8,4,9,10000,3.0,1.0,1961979125,,False,121.26044273376463,0.0104100428058488,0.0235916679660406,0.0273038462105093,0.0235519756884109
exact,10000,8,4,10,10000,3.0,1.0,1961979125,,False,122.61332821846008,0.0111218302586413,0.0138236047165672,0.0302077649665237,0.0264194856004191
exact,10000,8,4,11,10000,3.0,1.0,1961979125,,False,128.67665338516235,0.0114346580208146,0.0145052534566473,0.0330911130772709,0.0294922702843647
exact,10000,8,4,12,10000,3.0,1.0,1961979125,,False,135.1559340953827,0.0111339103699423,0.0141933497422199,0.0361106992041651,0.033129220953358
exact,10000,8,4,40,10000,3.0,1.0,2378741324,,False,739.1636033058167,0.0276434679904099,0.0272023882644206,0.1248065068320211,0.119856619941362
exact,10000,8,4,13,10000,3.0,1.0,1961979125,,False,143.5146083831787,0.0113884675264219,0.0147407226800725,0.0393109335920651,0.0361665011655973
exact,10000,8,4,14,10000,3.0,1.0,1961979125,,False,153.31705713272095,0.0117893973003448,0.0134089924260339,0.0432951925492249,0.0403175132222135
exact,10000,8,4,15,10000,3.0,1.0,1961979125,,False,184.34780716896057,0.0110795204530646,0.0127783788371678,0.0465628456121725,0.0444675978858232
exact,10000,8,4,45,10000,3.0,1.0,2378741324,,False,859.4697065353394,0.0308222208317982,0.0295508143158808,0.141073489465186,0.134820321960132
exact,10000,8,4,20,10000,3.0,1.0,1961979125,,False,230.4064164161682,0.0119152499495399,0.0140475382926807,0.0623043702097,0.0602534605771016
exact,10000,8,4,50,10000,3.0,1.0,2378741324,,False,928.642323732376,0.0315023884441342,0.0310243615440405,0.1572331652021892,0.152152553732655
exact,10000,8,4,25,10000,3.0,1.0,1961979125,,False,295.0219900608063,0.0129223205248157,0.0148563656359319,0.078131235297619,0.076053637947868
exact,10000,8,4,55,10000,3.0,1.0,2378741324,,False,999.1860949993134,0.0330182560046881,0.0234111502099218,0.1742355725240839,0.1694322917551057
exact,10000,8,4,30,10000,3.0,1.0,1961979125,,False,344.3619556427002,0.0135397937088849,0.0153013252715982,0.095273431407253,0.0935546178172467
exact,10000,8,4,35,10000,3.0,1.0,1961979125,,False,377.3625922203064,0.0142020584584119,0.016355695380182,0.110466932492994,0.1092982092759324
exact,10000,8,4,40,10000,3.0,1.0,1961979125,,False,423.0347819328308,0.0144018330493115,0.0151650502998378,0.1241598272796898,0.1237502943821785
exact,10000,8,4,45,10000,3.0,1.0,1961979125,,False,805.4639356136322,0.0125197248820352,0.0125102040987394,0.1408346803340594,0.1417872967200394
exact,10000,8,4,50,10000,3.0,1.0,1961979125,,False,896.8675918579102,0.0121962635647087,0.0142767705848809,0.1558195747048825,0.1566352412272068
exact,10000,8,4,55,10000,3.0,1.0,1961979125,,False,993.7109887599944,0.0135020576352456,0.0151243861343346,0.172039326343269,0.1721888636955283
pairwise,10000,8,4,1,10000,3.0,1.0,2457026461,,False,40.59108972549439,0.0024609289690716,0.704664066751359,0.0027925647952593,0.0007075524271541
pairwise,10000,8,4,1,10000,3.0,1.0,2643031147,,False,38.55113506317139,0.0011905893154445,0.7793597283838699,0.0028303877760451,0.002307817093336
pairwise,10000,8,4,2,10000,3.0,1.0,2457026461,,False,68.12659287452698,0.004322630930617,0.6056934780570958,0.0061213998822225,0.003004974484033
pairwise,10000,8,4,2,10000,3.0,1.0,2643031147,,False,68.46028923988342,0.002560316110729,0.5192010376555503,0.0065131595605591,0.0053108957297164
pairwise,10000,8,4,3,10000,3.0,1.0,2457026461,,False,97.3341703414917,0.0055577690749401,0.5341296478082764,0.0091778404759066,0.0059786257427621
pairwise,10000,8,4,3,10000,3.0,1.0,2643031147,,False,98.28635621070862,0.003021960678396,0.5288760280829549,0.0099789774742782,0.0090902484406338
pairwise,10000,8,4,4,10000,3.0,1.0,2457026461,,False,126.63678622245789,0.0077743353331214,0.5367242377486762,0.0126007365188073,0.008599456372647
pairwise,10000,8,4,4,10000,3.0,1.0,2643031147,,False,126.50487732887268,0.0036470464797496,0.3462983334523624,0.0135913657722489,0.0125140326584964
pairwise,10000,8,4,5,10000,3.0,1.0,2457026461,,False,155.86297392845154,0.0097205238994989,0.4842107837022274,0.0162893707956375,0.0118924223895089
pairwise,10000,8,4,5,10000,3.0,1.0,2643031147,,False,155.67635488510132,0.0042873156592467,0.3532885764849323,0.0164302896008402,0.0153952593719196
pairwise,10000,8,4,6,10000,3.0,1.0,2457026461,,False,185.90062618255607,0.0118828414888017,0.4845544647873098,0.0196403480609875,0.0145819397176959
pairwise,10000,8,4,6,10000,3.0,1.0,2643031147,,False,184.4310202598572,0.0046289530781033,0.10384149550766,0.0200259566649161,0.0198570660241392
pairwise,10000,8,4,7,10000,3.0,1.0,2457026461,,False,212.9029450416565,0.013559371579237,0.4864067180034243,0.0224685511031667,0.0158827275073616
pairwise,10000,8,4,7,10000,3.0,1.0,2643031147,,False,218.0224027633667,0.004732744384998,0.1057510202299633,0.0227112575903064,0.0229487144163622
pairwise,10000,8,4,8,10000,3.0,1.0,2457026461,,False,241.56789350509644,0.0151479753688696,0.4875315460119099,0.0252339977408421,0.0179830840298525
pairwise,10000,8,4,8,10000,3.0,1.0,2643031147,,False,244.84762454032887,0.0055486860714217,0.0272857632586201,0.0260226221248566,0.02644071492565
pairwise,10000,8,4,9,10000,3.0,1.0,2457026461,,False,272.296692609787,0.0171376807922577,0.4877509662619012,0.0285272784802792,0.020615786589832
pairwise,10000,8,4,9,10000,3.0,1.0,2643031147,,False,273.1759104728699,0.006375359021329,0.0277097838703963,0.0293339246232195,0.0294222766278002
pairwise,10000,8,4,10,10000,3.0,1.0,2457026461,,False,297.02016520500183,0.0192636352785167,0.4898777591560862,0.0319379824178194,0.0229124341486892
pairwise,10000,8,4,11,10000,3.0,1.0,2457026461,,False,325.19972038269043,0.0206106533377269,0.492069321625341,0.0349973797236213,0.0254555260654807
pairwise,10000,8,4,12,10000,3.0,1.0,2457026461,,False,349.40758657455444,0.0225099002726565,0.4945381727494418,0.0385970492491098,0.0283302861099599
pairwise,10000,8,4,10,10000,3.0,1.0,2643031147,,False,322.8988118171692,0.0066328191806001,0.0278742297663544,0.032174492320982,0.0324593117500428
pairwise,10000,8,4,13,10000,3.0,1.0,2457026461,,False,386.57913732528687,0.024353564164379,0.4960562420774254,0.0415302977224657,0.0302478479338885
pairwise,10000,8,4,11,10000,3.0,1.0,2643031147,,False,332.4403336048126,0.007367236084377,0.0277920938505108,0.0354268415329535,0.0353682153821501
pairwise,10000,8,4,14,10000,3.0,1.0,2457026461,,False,414.702700138092,0.0258041883696079,0.5005565521999928,0.0441468799988772,0.0316768509976257
pairwise,10000,8,4,12,10000,3.0,1.0,2643031147,,False,365.2662320137024,0.0083375919891144,0.0275174545612614,0.0381059721508223,0.0372943699287521
pairwise,10000,8,4,15,10000,3.0,1.0,2457026461,,False,437.9310450553894,0.0272857741510746,0.4993276836560081,0.0475562150044215,0.0346849961002061
pairwise,10000,8,4,13,10000,3.0,1.0,2643031147,,False,391.1849918365479,0.0090759519299949,0.0281500503035065,0.0409399965986301,0.0401042478691168
pairwise,10000,8,4,14,10000,3.0,1.0,2643031147,,False,424.5602629184723,0.0095407049613272,0.0267235471236415,0.0441323764899663,0.0441153023206193
pairwise,10000,8,4,15,10000,3.0,1.0,2643031147,,False,448.6297957897186,0.0099401935607471,0.027687663022398,0.0479799278614198,0.0475727800696047
pairwise,10000,8,4,20,10000,3.0,1.0,2457026461,,False,600.5159096717834,0.0341730461698335,0.497665451804472,0.064127892728125,0.0482589053757954
pairwise,10000,8,4,20,10000,3.0,1.0,2643031147,,False,591.7213468551636,0.0136799114533342,0.0303193300641151,0.0658392757258765,0.0642552438279361
